dataset,model,layer,target,alpha,pearsonr,pearsonr_nc,explained_variance,explained_variance_nc,encoding_rsa,encoding_cka
TVSD,Model B (Qwen3),features/visual-blocks-18,monkeyF/V1,100000.0,0.4373009206895556,0.44882874340461204,0.1732258354741205,0.17970903427811583,0.251907034091057,0.4067441001723852
TVSD,Model B (Qwen3),features/visual-blocks-18,monkeyF/V4,100000.0,0.4581637955488257,0.4662084406001671,0.19322442161683104,0.19807646202748916,0.2856768911364485,0.4543213033030577
TVSD,Model B (Qwen3),features/visual-blocks-18,monkeyN/IT,100000.0,0.563976557996209,0.575773296229947,0.2635032880739052,0.27139294268594794,0.2795027796218589,0.5712618260732693
TVSD,Model B (Qwen3),features/visual-blocks-18,monkeyN/V1,100000.0,0.45427034554407303,0.46001301775626,0.19368504321219113,0.19799193367007137,0.15275746398295326,0.40958411886090235
TVSD,Model B (Qwen3),features/visual-blocks-18,monkeyN/V4,100000.0,0.5077396040466888,0.5184250439499261,0.23090822918018042,0.23929716144051388,0.3228695943019996,0.45057022159287435
TVSD,Model B (Qwen3),features/visual-blocks-2,monkeyF/IT,100000.0,0.4757410988427443,0.4926495203384323,0.20644162407477157,0.21931796858916514,0.42220844360702664,0.35213736840834053
TVSD,Model B (Qwen3),features/visual-blocks-2,monkeyF/V1,100000.0,0.6709053362488797,0.6899975814023457,0.43938034672657345,0.4629007004753572,0.5390258448431086,0.7053784158764927
TVSD,Model B (Qwen3),features/visual-blocks-2,monkeyF/V4,100000.0,0.5544217012019248,0.5646982247130987,0.28738128072668856,0.2969858345593874,0.4124575414025146,0.49710224594243674
TVSD,Model B (Qwen3),features/visual-blocks-2,monkeyN/IT,100000.0,0.5246909910754389,0.5358322253760066,0.22502765345767684,0.2319997611277453,0.36336285184378103,0.4023249807236274
TVSD,Model B (Qwen3),features/visual-blocks-2,monkeyN/V1,100000.0,0.7173133214169434,0.7268975493791825,0.49892146363747614,0.5121214277527526,0.46051972536772795,0.7622849139300648
TVSD,Model B (Qwen3),features/visual-blocks-2,monkeyN/V4,100000.0,0.5872926895804568,0.5997748253336561,0.3163938485688469,0.32865215482511906,0.45912235408389074,0.5439262989993553
TVSD,Model B (Qwen3),features/visual-blocks-22,monkeyF/IT,100000.0,0.48957820554968906,0.5063936900456367,0.20596528419456922,0.21820958949536856,0.4443662694951806,0.47854585747178857
TVSD,Model B (Qwen3),features/visual-blocks-22,monkeyF/V1,100000.0,0.4303346976254264,0.4418635734390384,0.16605999624456325,0.17313783689666945,0.22496707126843993,0.38620730746298976
TVSD,Model B (Qwen3),features/visual-blocks-22,monkeyF/V4,100000.0,0.4614768423158133,0.46957828831585713,0.1896939970665049,0.19491451413668137,0.260017087558244,0.4792167933398844
TVSD,Model B (Qwen3),features/visual-blocks-22,monkeyN/IT,100000.0,0.5567600170978902,0.5682314151320884,0.24629379581864141,0.2524093098499278,0.2611326768231792,0.5623700565501819
TVSD,Model B (Qwen3),features/visual-blocks-22,monkeyN/V1,100000.0,0.44576785515467515,0.4515057048459388,0.17899650104833953,0.1832281817987543,0.13827385633876224,0.38663657194296613
TVSD,Model B (Qwen3),features/visual-blocks-22,monkeyN/V4,100000.0,0.5079460860068328,0.5186913386599431,0.22862570860221185,0.2372062092219371,0.32699950814046025,0.4431581594680463
TVSD,Model B (Qwen3),features/visual-blocks-6,monkeyF/IT,100000.0,0.5945055542351882,0.6156723777062321,0.3280010309201408,0.3501151552756673,0.5666564360466153,0.5451249675901629
TVSD,Model B (Qwen3),features/visual-blocks-6,monkeyF/V1,100000.0,0.6442374036159242,0.6623743778137332,0.4067087845458351,0.42784819704873417,0.5021205841704207,0.6718481941245535
TVSD,Model B (Qwen3),features/visual-blocks-6,monkeyF/V4,100000.0,0.6317432491357299,0.6434115653160298,0.3734896638120635,0.3862971152870774,0.4998716761440734,0.6272658236857266
TVSD,Model B (Qwen3),features/visual-blocks-6,monkeyN/IT,100000.0,0.6709391641042505,0.6858309816960845,0.394155269238747,0.40993523562221357,0.5077537172470002,0.6524502298335568
TVSD,Model B (Qwen3),features/visual-blocks-6,monkeyN/V1,100000.0,0.6926933062218276,0.701856880448557,0.4643233267534845,0.47644107643009237,0.4281986368126381,0.7316996950323166
